id,speed_kmh,ax_g,ay_g,yaw_rate_dps,steering_angle_deg,wheel_fl_kmh,wheel_fr_kmh,wheel_rl_kmh,wheel_rr_kmh,slip_fl,slip_fr,slip_rl,slip_rr,image_path,road_image_path,Unnamed: 16,rac,img,dyn,decision,feature
20260322_152459_680650,32.9625,-0.018499999999999957,-0.013099999999999992,0.1899999999999996,10.3,33.075,33.1875,33.46875,33.24375,-0.003412969000000002,-0.006825938999999999,-0.015358361999999997,-0.008532422999999999,train/episode_4__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152459_680650.jpg,train/episode_4__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152459_680650.jpg,,0.34,0.330315,0.245741,0.313880,0.312636
20260322_152459_680650,32.934374999999996,0.00025000000000001063,-0.009074999999999998,0.012499999999999928,10.15,33.075,33.145312499999996,33.3984375,33.2015625,-0.0042720555,-0.00640370075,-0.01408726475,-0.008111646,train/episode_4__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152459_680650.jpg,train/episode_4__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152459_680650.jpg,,0.34,0.330315,0.264195,0.312814,0.317856
20260322_152459_680650,32.90625,0.01900000000000002,-0.0050499999999999955,-0.16500000000000015,10.0,33.075,33.103125,33.328125,33.159375,-0.005131142000000001,-0.0059814625,-0.0128161675,-0.0076908689999999995,train/episode_4__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152459_680650.jpg,train/episode_4__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152459_680650.jpg,,0.34,0.330315,0.256858,0.311717,0.316171
20260322_152459_680650,32.878125000000004,0.03774999999999999,-0.0010250000000000033,-0.34249999999999986,9.85,33.075,33.0609375,33.2578125,33.1171875,-0.005990228499999999,-0.00555922425,-0.011545070250000001,-0.007270092000000001,train/episode_4__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152459_680650.jpg,train/episode_4__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152459_680650.jpg,,0.34,0.330315,0.247705,0.310614,0.313209
20260322_152459_930650,32.85,0.0565,0.003,-0.52,9.7,33.075,33.01875,33.1875,33.075,-0.006849315,-0.005136986,-0.010273973,-0.006849315,train/episode_4__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152459_930650.jpg,train/episode_4__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152459_930650.jpg,,0.34,0.312700,0.251805,0.306378,0.308719
20260322_152459_930650,32.878125000000004,0.022749999999999965,-0.0012750000000000044,-0.19749999999999962,11.075000000000001,33.0328125,33.046875,33.1171875,33.075,-0.004710364999999998,-0.0051326029999999995,-0.007278858499999997,-0.005990228499999999,train/episode_4__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152459_930650.jpg,train/episode_4__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152459_930650.jpg,,0.34,0.312700,0.258382,0.303925,0.309938
20260322_152459_930650,32.90625,-0.011000000000000003,-0.00555,0.125,12.45,32.990625,33.075,33.046875,33.075,-0.0025714149999999996,-0.005128219999999999,-0.004283744,-0.005131142,train/episode_4__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152459_930650.jpg,train/episode_4__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152459_930650.jpg,,0.34,0.312700,0.252448,0.301784,0.307642
20260322_152459_930650,32.934375,-0.04475000000000003,-0.009825000000000004,0.44750000000000045,13.825000000000001,32.9484375,33.103125,32.9765625,33.075,-0.00043246499999999733,-0.005123837,-0.0012886294999999957,-0.004272055499999999,train/episode_4__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152459_930650.jpg,train/episode_4__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152459_930650.jpg,,0.34,0.312700,0.247711,0.300015,0.305296
20260322_152500_180650,32.9625,-0.0785,-0.0141,0.77,15.2,32.90625,33.13125,32.90625,33.075,0.001706485,-0.005119454,0.001706485,-0.003412969,train/episode_4__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152500_180650.jpg,train/episode_4__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152500_180650.jpg,,0.34,0.349484,0.253378,0.308076,0.315376
20260322_152500_180650,33.0046875,-0.06574999999999999,-0.008099999999999993,0.9650000000000002,15.825,32.9203125,33.159375000000004,32.9625,33.103125000000006,0.002553208500000001,-0.004688486999999999,0.0012798637499999996,-0.0029841749999999995,train/episode_4__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152500_180650.jpg,train/episode_4__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152500_180650.jpg,,0.34,0.349484,0.260976,0.314696,0.316112
20260322_152500_180650,33.046875,-0.05299999999999997,-0.0020999999999999873,1.1600000000000004,16.45,32.934375,33.1875,33.018750000000004,33.13125,0.003399932000000002,-0.004257519999999999,0.0008532424999999991,-0.002555380999999999,train/episode_4__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152500_180650.jpg,train/episode_4__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152500_180650.jpg,,0.34,0.349484,0.263835,0.319858,0.316563
20260322_152500_180650,33.089062500000004,-0.04024999999999996,0.0039000000000000198,1.3550000000000006,17.075000000000003,32.9484375,33.215625,33.075,33.159375000000004,0.004246655500000003,-0.0038265529999999986,0.00042662124999999864,-0.0021265869999999984,train/episode_4__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152500_180650.jpg,train/episode_4__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152500_180650.jpg,,0.34,0.349484,0.258543,0.323557,0.315259
20260322_152500_430650,33.13125,-0.027499999999999965,0.009900000000000044,1.5499999999999996,17.7,32.9625,33.24375,33.13125,33.1875,0.005093378999999997,-0.003395585999999998,-5.654786638942257e-18,-0.0016977930000000036,train/episode_4__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152500_430650.jpg,train/episode_4__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152500_430650.jpg,,0.34,0.374160,0.252942,0.333602,0.308544
